folioviv,camb_clim,climate_vulnerability_intensity
100258201,0,0
100258202,0,0
100258203,0,0
100258204,0,0
100258205,0,0
100258206,0,0
100259201,1,8
100259202,1,8
100259203,1,8
100259204,0,0
100259205,0,0
100259206,0,0
100259507,0,0
100259508,0,0
100259509,1,8
100259510,0,0
100259511,1,8
100259512,0,0
100259713,0,0
100259714,0,0
100259715,0,0
100259717,0,0
100259919,0,0
100259920,0,0
100259921,0,0
100259922,0,0
100259923,0,0
100259924,0,0
100260019,0,0
100260020,0,0
100260021,0,0
100260022,0,0
100260023,0,0
100260024,0,0
100260401,0,0
100260402,0,0
100260404,0,0
100260405,0,0
100260406,0,0
100260608,0,0
100260609,0,0
100260610,0,0
100260611,0,0
100260612,0,0
100260813,0,0
100260814,0,0
100260815,0,0
100260816,0,0
100260817,0,0
100260818,0,0
100261201,0,0
100261202,0,0
100261203,0,0
100261204,0,0
100261205,0,0
100261206,0,0
100261407,0,0
100261408,0,0
100261409,0,0
100261410,0,0
100261411,0,0
100261412,0,0
100261713,0,0
100261714,0,0
100261715,0,0
100261716,0,0
100261717,0,0
100261718,0,0
100261718,0,0
100261919,0,0
100261920,0,0
100261921,0,0
100261922,0,0
100261923,0,0
100261924,0,0
100262019,0,0
100262020,0,0
100262021,0,0
100262022,0,0
100262023,0,0
100262024,0,0
100262401,1,9
100262402,0,0
100262403,0,0
100262404,0,0
100262405,0,0
100262406,0,0
100262608,0,0
100262609,0,0
100262610,0,0
100262611,0,0
100262612,0,0
100262813,0,0
100262814,0,0
100262815,0,0
100262816,0,0
100262817,0,0
100262818,0,0
100263401,1,8
100263402,0,0
100263403,0,0
100263404,0,0
100263405,0,0
100263406,0,0
100264801,0,0
100264803,0,0
100264804,0,0
100264805,0,0
100264806,0,0
100265601,0,0
100265602,0,0
100265603,0,0
100265604,0,0
100265605,0,0
100265606,0,0
100266401,0,0
100266402,0,0
100266403,0,0
100266404,0,0
100266405,0,0
100266406,0,0
100267801,0,0
100267802,0,0
100267803,0,0
100267804,0,0
100267805,0,0
100267806,0,0
100268001,0,0
100268003,0,0
100268004,0,0
100268005,0,0
100268006,0,0
100269301,0,0
100269302,0,0
100269303,0,0
100269304,0,0
100269305,1,8
100269306,0,0
100270501,0,0
100270502,0,0
100270503,0,0
